Timestamp,VerticalAccel_g
1738121288.4780166,-5.2415
1738121288.4805586,-3.3032
1738121288.4830575,-3.2276
1738121288.5362604,-2.4057
1738121288.5382633,-2.8775
1738121288.5402641,-1.8262
1738121288.5956566,-2.2713
1738121288.5976343,-1.9946
1738121288.5996366,-3.6506
1738121288.6566997,-2.057
1738121288.6576967,-2.4049
1738121288.6596568,-2.8989
1738121288.715791,-2.3018
1738121288.7178295,-1.9397
1738121288.7198026,-2.5761
1738121288.7759612,-0.9997
1738121288.7779734,-0.5965
1738121288.7805,-1.3945
1738121288.8377962,-1.3016
1738121288.843324,-2.8864
1738121288.8462596,-3.2737
1738121288.8963165,-3.5135
1738121288.8980737,-4.4671
1738121288.8990755,-3.9283
1738121288.958219,7.6829
1738121288.963833,-25.6276
1738121288.966386,-22.3885
1738121289.0162828,-12.8573
1738121289.018255,-14.9208
1738121289.0192528,-13.7663
1738121289.0769017,-10.6021
1738121289.0779006,-9.2269
1738121289.0805845,-8.8513
1738121289.1970527,-5.9902
1738121289.1980808,-304.2934
1738121289.2000453,-248.2176
1738121289.2564962,13.8453
1738121289.2594938,-11.2028
1738121289.261492,-28.6755
1738121289.3166556,-13.3932
1738121289.3186529,-2.7648
1738121289.3206518,-11.6212
1738121289.3763604,-8.5075
1738121289.3783605,-10.4512
1738121289.3794007,-10.5699
1738121289.4359834,-13.4741
1738121289.4379685,-10.6278
1738121289.4409742,-12.3848
1738121289.496586,-12.3399
1738121289.4975872,-13.1471
1738121289.4995842,-12.792
1738121289.5561898,-13.4225
1738121289.557798,-12.975
1738121289.5598092,-12.8223
1738121289.6156406,-13.016
1738121289.6176462,-13.1835
1738121289.6196392,-13.0499
1738121289.6766036,-13.0849
1738121289.6776075,-12.4227
1738121289.6796048,-12.4326
1738121289.7363143,-10.441
1738121289.7393184,-9.623
1738121289.7413158,-9.1438
1738121289.7957973,-7.6971
1738121289.797789,-6.3562
1738121289.7997937,-4.371
1738121289.8564134,-4.6385
1738121289.858413,-3.3266
1738121289.8594613,-2.8025
1738121289.9166384,-0.877
1738121289.9186335,-1.4961
1738121289.9196405,-1.4362
1738121289.97598,-1.3603
1738121289.9779813,-0.7075
1738121289.9799888,-0.5845
1738121290.0362775,-0.9169
1738121290.0382419,-1.4411
1738121290.0402515,-0.7923
1738121290.096014,-1.0699
1738121290.0990157,-1.0144
1738121290.1111522,-1.1352
1738121290.1563916,-1.3647
1738121290.1583824,-2.2421
1738121290.1603925,-1.9972
1738121290.2167172,-2.6986
1738121290.2186956,-2.429
1738121290.2197323,-1.7562
1738121290.2768736,-1.5066
1738121290.2798707,-1.8379
1738121290.281877,-1.5497
1738121290.3363118,-1.1687
1738121290.3373137,-0.7994
1738121290.339314,-0.9024
1738121290.3967175,0.6702
1738121290.397714,0.4094
1738121290.3997147,0.0166
1738121290.4568815,0.4438
1738121290.4588811,0.6451
1738121290.4618695,0.5217
1738121290.5156703,0.306
1738121290.5176725,0.5579
1738121290.5196743,0.5492
1738121290.5758502,0.0472
1738121290.577852,-0.1006
1738121290.580257,-0.1734
1738121290.6364045,-0.1012
1738121290.6384068,-0.1386
1738121290.6414049,-0.1655
1738121290.6960835,-0.1363
1738121290.6980877,-0.0497
1738121290.700095,-0.1148
1738121290.7564456,-0.688
1738121290.8168194,-1.0202
1738121290.8188157,-0.6247
1738121290.8208156,-1.3499
1738121290.8233304,-2.1521
1738121290.8767414,-1.7357
1738121290.878741,-1.2479
1738121290.8807034,-1.204
1738121290.9357889,-1.4271
1738121290.9377892,-1.7404
1738121290.939806,-1.0383
1738121290.9969227,-1.2739
1738121290.9979541,-1.5218
1738121290.9999676,-1.3168
1738121291.0564766,-0.9749
1738121291.0584836,-0.6297
1738121291.0604475,-0.5145
1738121291.115845,-0.1473
1738121291.1178439,0.6506
1738121291.1208508,0.5326
1738121291.176201,1.2418
1738121291.1801994,1.1501
1738121291.1811972,0.4007
1738121291.2361495,0.3519
1738121291.2381527,-0.0575
1738121291.240155,-0.0043
1738121291.2963963,0.0235
1738121291.2983959,-1.6318
1738121291.2993941,-1.2259
1738121291.356344,-1.2785
1738121291.3593514,-1.1301
1738121291.3613536,-1.1026
1738121291.416386,-1.3027
1738121291.4183912,-1.0738
1738121291.4193885,-1.1194
1738121291.4762053,-1.2291
1738121291.4782152,-1.7118
1738121291.4792168,-0.8388
1738121291.535984,-0.8693
1738121291.5389526,-0.8442
1738121291.5409553,-0.6629
1738121291.656295,-1.2195
1738121291.6592996,-0.8438
1738121291.6633036,-0.6197
1738121291.7161748,-1.08
1738121291.718221,-1.0555
1738121291.7201967,-1.0092
1738121291.7764535,-2.4378
1738121291.777448,-3.9661
1738121291.7794514,-3.9022
1738121291.8358295,-8.5138
1738121291.837827,12.788
1738121291.896324,-11.9488
1738121291.898319,-22.0215
1738121291.899325,-20.2076
1738121291.9013212,-1.0367
1738121291.956506,-9.4377
1738121292.0161946,-6.9728
1738121292.0181975,0.7511
1738121292.0211964,-6.3196
1738121292.023196,-5.2783
1738121292.076397,-6.0148
1738121292.0783963,-8.2229
1738121292.079431,1.8585
1738121292.196205,-15.9001
1738121292.201807,-14.1074
1738121292.2033167,-29.32
1738121292.205865,-29.1688
1738121292.2561228,-41.8089
1738121292.258128,-49.1788
1738121292.2601533,-54.8877
1738121292.3757386,-64.8811
1738121292.3777397,-67.5033
1738121292.3798006,-74.2851
1738121292.3817422,-77.9755
1738121292.4357243,-78.7338
1738121292.4376915,-76.9365
1738121292.4397252,-75.6449
1738121292.49579,-72.0693
1738121292.497792,-68.7687
1738121292.4997933,-65.5578
1738121292.5564804,-62.0484
1738121292.558485,-58.7386
1738121292.5594785,-57.1896
1738121292.6761057,-53.6926
1738121292.6791067,-50.5336
1738121292.6811233,-47.2046
1738121292.7356696,-36.3242
1738121292.737667,-31.6894
1738121292.7396772,-28.4547
1738121292.796343,-23.1776
1738121292.7983465,-21.6218
1738121292.7993512,-18.8226
1738121292.8564968,-17.4717
1738121292.8584998,-17.6059
1738121292.8595338,-17.4386
1738121292.9162054,-17.2273
1738121292.9181757,-17.3839
1738121292.9192073,-18.5251
1738121292.9768267,-18.8549
1738121292.977863,-19.0014
1738121292.9798467,-19.4713
1738121293.0358663,-20.2006
1738121293.0378742,-20.7146
1738121293.039871,-20.9791
1738121293.0957506,-20.7697
1738121293.0977511,-18.5066
1738121293.0997562,-15.8358
1738121293.1558552,-11.4009
1738121293.1578517,-10.202
1738121293.1595511,-2.6417
1738121293.2162318,-1.3141
1738121293.218231,0.8834
1738121293.2202334,-0.6726
1738121293.2760963,-4.5437
1738121293.278101,-8.1856
1738121293.2800767,-16.9496
1738121293.3369887,-25.232
1738121293.337947,-37.0803
1738121293.3399427,-51.4387
1738121293.3965616,-74.5079
1738121293.3975983,-85.7411
1738121293.399606,-95.1159
1738121293.4568267,-104.2055
1738121293.4588232,-112.8811
1738121293.459823,-118.071
1738121293.5165856,-126.9183
1738121293.5176208,-137.4011
1738121293.519626,-149.0146
1738121293.5761547,-160.8347
1738121293.5781598,-172.4847
1738121293.5791948,-179.1747
1738121293.6363494,-196.5769
1738121293.638345,-200.6042
1738121293.6403475,-202.864
1738121293.696485,-214.9475
1738121293.698485,-219.1756
1738121293.700487,-224.1361
1738121293.7569761,-234.5174
1738121293.7579818,-240.732
1738121293.759977,-250.3639
1738121293.816191,-257.5104
1738121293.8181522,-257.5162
1738121293.819157,-256.0551
